[l_1, u_1] | [l_2, u_2]; action; prediction; prediction error; fitness; numerosity; experience
[0.48583642124434895, 1.0] | [0.38813535602175864, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.028445650083286252;6;51500
[0.0034306275197778374, 0.614620801675845] | [0.0, 0.6970921548239538];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.06547349491608866;14;110040
[0.6884722085434992, 1.0] | [0.6114469314908368, 0.7777965277085773];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.07519044187917695;9;13524
[0.6375106399629442, 0.8159670152562404] | [0.1250392694985576, 0.0];java.awt.Color[r=229,g=178,b=146];4.853905620566024E-48;7.32939748705469E-46;0.2587761969726399;27;5694
[0.43605189555510376, 0.0] | [0.4280943444882538, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.03800363135311932;8;47938
[0.1702113510268768, 0.424192869760416] | [0.0, 0.16637720159790675];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.11655033201044551;16;11030
[0.3772162484014884, 0.0] | [0.6859835940010558, 0.5274329807326177];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.04394410842457186;6;15526
[0.5575692031223238, 0.0] | [0.24915076694261468, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.04799074676917717;7;35980
[0.7481275893099193, 0.633974189709439] | [0.6206155536383721, 0.3524509638958004];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.08565045552617653;11;8032
[0.4940734929903975, 0.37530915372555507] | [0.6226840770719884, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.07638964231043341;12;11684
[0.33467929993593265, 0.0] | [0.2177175628986054, 0.5248012856076819];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.057101499111036604;9;26052
[0.48211486093882266, 0.0] | [1.0, 0.8298651178760633];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.058047583587609246;13;21402
[0.7611458381518678, 0.0] | [0.3560317685266131, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.051522246963105624;11;69562
[0.48211486093882266, 0.0] | [1.0, 0.8233363157401182];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.0401896942307578;9;22146
[0.6884722085434992, 1.0] | [0.8603826151229184, 0.6747991873776349];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.0812271774825156;11;14970
[1.0, 0.6905745114832292] | [0.7265639688854293, 0.9922365327571581];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.052330330620257125;10;20954
[0.0, 0.16818897807786093] | [0.0, 0.7265456201455953];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.06890634172307965;16;31076
[0.1866111663005869, 0.0] | [0.2593155862723245, 0.4278845964281463];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.16921138634900118;12;8172
[0.5174501737644757, 0.7980807457528836] | [0.6687065390109586, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.035332826557052215;8;23796
[0.6568702762791944, 0.8050232599794226] | [0.3375651059701393, 0.6760190615722481];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.1274114403144885;17;12768
[0.33984994710988725, 1.0] | [0.3969007595932275, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.030148380261877022;7;66724
[0.0, 0.5849796596007483] | [0.0, 0.7751863909274802];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.05517010603707637;12;115430
[0.41011876274322373, 0.0] | [0.44197766338801414, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.03326678631382679;6;46144
[0.5272404449091865, 0.7980807457528836] | [0.6608327814113947, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03526372893925771;8;23428
[0.4343810482079053, 0.3179293239045922] | [0.4802482944988533, 0.23894097603214315];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.08465779508599658;9;7046
[0.7710087842299415, 1.0] | [0.5953652564087729, 0.4139272659856183];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.034160650780959895;7;10962
[0.6875583636331449, 1.0] | [0.0, 0.42970987563687774];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.06018470047589344;8;34324
[1.0, 0.5681456946701733] | [0.551407880911005, 0.9378780012499238];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.0660453272691071;12;42506
[0.5803623879566304, 0.37530915372555507] | [0.6226840770719884, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05608104861539146;8;19926
[0.98984288595398, 0.38477795688600863] | [0.5717344880497109, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.0795534344985094;14;66024
[0.4125594883849599, 0.0] | [0.7760913859742709, 0.5084551824790159];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05144330562594089;7;28030
[0.6941392294143288, 1.0] | [0.2973945012226058, 0.985102699520607];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05080121689785593;10;53672
[0.4213428015064097, 0.8591920039077807] | [0.0, 0.5178727662014488];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.048643514033274354;9;57716
[1.0, 0.38477795688600863] | [0.5717344880497109, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06613705440509594;11;67002
[0.6780562311613388, 0.37530915372555507] | [0.5739938618608769, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05358339326423327;9;33012
[0.7394709932066041, 0.37530915372555507] | [0.5739938618608769, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05334246670657073;9;39520
[0.7828740084167003, 1.0] | [0.0, 0.31588108562288997];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.027386045414430748;6;17264
[1.0, 0.6896984657686172] | [0.1470216105725051, 0.6970921548239538];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03888592574704297;9;43900
[0.22439606785862493, 0.7199257159845778] | [0.0, 0.36789721881854];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.10416737277854753;25;46454
[0.0, 0.12327169998977079] | [0.20769140573056047, 0.4380848773679032];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.06784149279857547;8;7048
[0.98984288595398, 0.38477795688600863] | [0.5459495568226556, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.035190295565214386;5;69756
[0.999558977202609, 0.875285923090556] | [0.4306389326409794, 0.24396337377071706];java.awt.Color[r=139,g=69,b=19];1000.0;4.9E-324;0.16876159420196046;10;5776
[0.0, 0.6247023285338924] | [0.0, 0.8117813952669971];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.05201871693042341;11;128316
[0.40672309635902876, 0.02353176874065408] | [0.22903617725146652, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.04438185774459942;6;22300
[0.49236557781711304, 0.0] | [1.0, 0.779105529344916];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.04606242144928081;11;27904
[0.8719909694086375, 0.5604025938687948] | [0.1488497966736561, 1.0];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.0753200761708539;14;67398
[0.41393733751485867, 0.6198383719111847] | [0.3714549670920899, 0.21138329764786606];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.2502531762637427;26;8306
[0.0, 0.6247023285338924] | [0.0, 0.83384851976987];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.0516386618290148;11;131590
[1.0, 0.8801813073650625] | [0.4306389326409794, 0.21575899177840033];java.awt.Color[r=139,g=69,b=19];1000.0;4.9E-324;0.13443350351619934;8;6390
[0.0, 0.6247023285338924] | [0.0021295796507727824, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.05571657701348015;12;157262
[0.8707051286877416, 0.7523650074923474] | [0.253533423351639, 0.3877941108425575];java.awt.Color[r=0,g=0,b=255];1000.0;4.9E-324;0.060123925057845;4;4076
[0.8213466169155292, 0.9997261318381099] | [1.0, 0.7514545687427449];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.08744330931780346;12;11032
[0.43570964986127136, 0.18017213908149285] | [0.4477332470209958, 0.6717372912534663];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.06877988352652283;9;14722
[0.48583642124434895, 1.0] | [0.24805892295749887, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.04985083205430802;11;97396
[0.8719909694086375, 0.6014040793746682] | [0.0, 1.0];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.037153412135689706;7;68310
[0.19095336275137123, 0.0] | [0.0, 0.5042557981878625];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.08899124540105839;13;23948
[0.38397789799130555, 0.0] | [0.5036606154902666, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.059940339418831805;14;48560
[0.98984288595398, 0.37530915372555507] | [0.3673537989492531, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.04062809134291744;9;97960
[0.26349937866375717, 0.0] | [0.11718820831243462, 0.0];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.04945247465472194;5;7880
[0.6447006456068944, 1.0] | [0.6687065390109586, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.0306566638217938;7;29444
[0.7122318115530095, 0.0019154108895218583] | [0.3673537989492531, 0.6227271832440165];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.039353934662420105;9;45482
[0.3913940621321603, 0.1270605849674837] | [0.4477332470209958, 0.6717372912534663];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.0521986510506572;7;15304
[0.3772162484014884, 0.0] | [0.34096895825410006, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.03678771114741964;6;61934
[0.6974030699494184, 1.0] | [0.24994493841809373, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.07145882345195098;11;18948
[0.0, 1.0] | [0.0, 0.36789721881854];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.06413986201648186;15;92254
[0.6974030699494184, 1.0] | [0.24823723021598554, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.06744501840171568;10;18818
[1.0, 0.37530915372555507] | [0.5459495568226556, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.07951893847711311;14;71168
[0.5174501737644757, 1.0] | [0.708710664370648, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03016109618560578;7;34992
[0.0, 0.11337486935088033] | [0.693195276997346, 0.5672555216863517];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.112423497100276;15;3488
[0.6663871953254157, 0.5043686788127935] | [0.805379680290197, 0.6553880278793836];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.1078097197033472;14;6216
[0.8389994451702003, 1.0] | [0.5602868599595201, 0.4847103746592442];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.0966718770300398;6;3160
[0.5174501737644757, 1.0] | [0.6687065390109586, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.017290443670995963;4;39840
[0.687623635187555, 0.0] | [0.5431111555476749, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.030452080772343425;7;92716
[1.0, 0.37530915372555507] | [0.2095885281403917, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.019330897056634183;4;122724
[0.0, 1.0] | [0.0, 1.0];java.awt.Color[r=255,g=255,b=0];1.0565902503914918E-50;1.6799786105890363E-48;0.06914971132141215;15;248850
[1.0, 0.8317565956761852] | [0.24137005857538577, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.08090858062979715;11;10080
[0.29728166799205413, 0.0] | [0.24734573459509027, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.028370255989441606;5;54812
[0.0, 0.17058211074286625] | [1.0, 0.760178451839154];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.0401444829527508;6;10212
[0.5088637199504935, 0.10232693508422958] | [0.14507606013166718, 0.6161850877240248];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06778504542163558;16;47328
[1.0, 0.6257518828436619] | [0.4053019686085805, 0.31227040547440765];java.awt.Color[r=255,g=0,b=0];7.934762510997447E-109;2.6475657578361463E-106;0.06636813611469165;9;8810
[0.687623635187555, 1.0] | [0.5431111555476749, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.0487817689531393;10;41906
[0.7448254130475268, 0.0] | [0.47798373395214855, 0.6161850877240248];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.02966120781709339;7;25642
[0.6919139045889978, 1.0] | [0.24994493841809373, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.06011112032050726;9;18976
[0.98984288595398, 0.0] | [0.5036606154902666, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.04168336612405847;10;122114
[0.3023454399372141, 0.6198383719111847] | [0.3714549670920899, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.0828740812690465;15;28804
[1.0, 0.37530915372555507] | [0.1940627729120118, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.03338973660171797;7;123816
[0.6568702762791944, 0.8142773228004361] | [0.4126508063708056, 0.6760190615722481];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.06129967040616978;8;10214
[0.8721800282802504, 1.0] | [0.1250010062522719, 0.0];java.awt.Color[r=139,g=69,b=19];2.6132744940002743E-20;1.7683157409401856E-18;0.08605098945527936;8;3900
[0.0, 0.12327169998977079] | [0.1986872449442388, 0.4844776837212172];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.07455366591701727;9;8542
[0.7122318115530095, 0.0] | [0.5431111555476749, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.0174009132504916;4;94872
[0.21256008203104493, 0.3749610414039427] | [0.1903129565274948, 0.3224701926787008];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.10649304060821485;10;5454
[0.0, 0.6247023285338924] | [0.0, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.0835908952452657;18;152980
[1.0, 0.8144613554866725] | [0.705173091921426, 0.9031817493469886];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.13038074230739047;15;8926
[0.3758712809012468, 0.27324336665966253] | [0.8776475010930791, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.2465574580094195;26;3038
[1.0, 0.37530915372555507] | [0.16008627453456123, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.02860874240863828;6;128084
[0.98984288595398, 0.0] | [0.5036606154902666, 0.6161850877240248];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.03002692137554807;7;27752
[0.0, 0.3454162950218514] | [1.0, 0.6951863110214282];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.054589514508416814;9;25844
[0.4988334838478511, 0.017874038731332687] | [1.0, 0.7454795055191759];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.030366614491658582;5;29828
[0.98984288595398, 0.0] | [0.5435597819297538, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.03912727596464926;9;130924
[0.4205084156520324, 0.0] | [0.1769413509486514, 0.0];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.022349454929019633;2;18346
[0.9782713757339416, 0.6633304129635907] | [1.0, 0.7514545687427449];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.09480226493336019;12;19166
[1.0, 0.0] | [0.5036606154902666, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.026113350956716297;6;121744
[0.0, 0.3454162950218514] | [1.0, 0.6592723450390047];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.030144930047778875;5;28762
[1.0, 0.9375034622183317] | [0.1250010062522719, 0.24396337377071706];java.awt.Color[r=139,g=69,b=19];999.9999999999999;1.1368683772161605E-13;0.24411053816624262;12;1840
[0.29728166799205413, 0.0] | [0.2418910931370141, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.03170239732157446;5;53936
[0.4432393028757445, 0.0] | [0.1769413509486514, 0.0];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.034553823534158534;4;19220
[0.7669384442130563, 0.5901305461970353] | [0.43833615939208165, 0.31311164353014254];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.058033408805487734;8;5418
[0.0, 0.061821719837682906] | [0.7411267718207564, 0.886155632272237];java.awt.Color[r=255,g=255,b=255];1000.0;8.399357067230434E-265;0.0994819301997886;5;2266
[0.29728166799205413, 0.0] | [0.0, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05951012235678707;10;71232
[0.8719909694086375, 0.539341894255164] | [0.07790547627540656, 0.9326312057631064];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.03211954229029907;6;68786
[0.0, 0.33912777181764264] | [0.43906575894863614, 0.7536706739728086];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.045511038889032525;7;25546
[1.0, 0.6454882840626305] | [1.0, 0.7514545687427449];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05319293333516282;7;21302
[0.16477983557603298, 0.4915119555345912] | [0.0, 0.1874696615688766];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.08334982500537239;10;15214
[0.8693706828557203, 0.5532278583788914] | [0.1955016273373804, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.07770950845633676;9;14882
[1.0, 0.6896984657686172] | [0.11956788702120119, 0.6970921548239538];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.030240670893877625;7;43678
[0.5509777415346577, 0.31504723063513673] | [0.8191602190927161, 1.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.027588107811231905;3;10468
[0.0, 0.12327169998977079] | [0.16381485242633198, 0.5343914522290829];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.037721583833729755;4;10910
[0.7122318115530095, 0.0] | [0.8879974101274524, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06263657237094304;11;18900
[1.0, 0.37530915372555507] | [0.14507606013166718, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.0381449197311871;8;128228
[1.0, 0.875285923090556] | [0.4306389326409794, 0.18939980059912703];java.awt.Color[r=139,g=69,b=19];1000.0;4.9E-324;0.08461181950852134;5;7132
[0.0, 0.12327169998977079] | [0.12631687010869974, 0.4380848773679032];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.008143559808734968;1;9144
[1.0, 0.0] | [0.5036606154902666, 0.6161850877240248];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05276118685232071;11;27458
[0.7013454303597199, 0.0] | [0.10629464409016148, 0.6227271832440165];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05042579710514613;12;86346
[1.0, 0.6896984657686172] | [0.11956788702120119, 0.733405216331025];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03456526735385959;8;45980
[0.12297989151188139, 0.0] | [1.0, 0.5315262277541041];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.057730785610364696;6;13578
[0.1985640823285472, 0.1026772721516318] | [0.43906575894863614, 0.7802365949952674];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.17695487290313794;24;7598
[1.0, 0.0] | [0.14507606013166718, 0.6161850877240248];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.03543786834376032;8;111840
[0.9377390651073181, 0.817054434267439] | [0.8155410448633859, 1.0];java.awt.Color[r=255,g=255,b=255];999.9999999999999;1.1368683772161605E-13;0.15807524206630022;16;5244
[0.0, 0.6198383719111847] | [0.3714549670920899, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.06247948269938608;11;54150
[0.2154978152606589, 1.0] | [1.0, 0.779105529344916];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.0430486463205709;10;41042
[0.6447006456068944, 1.0] | [0.6612042151716189, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03067993069247557;7;28344
